করে , 1942
না , 1759
সেই , 1563
এই , 1552
তার , 1427
এক , 1325
এবং , 1324
সাথে , 1232
থেকে , 1182
ছিল , 1148
আর , 1102
কিন্তু , 1054
যে , 905
হয় , 893
জন্য , 884
কোন , 883
নিয়ে , 825
আমাদের , 712
মনে , 672
তাদের , 626
হয়ে , 626
মত , 623
আছে , 615
কথা , 603
অনেক , 592
আমার , 590
এর , 590
করা , 586
কি , 578
দেখা , 559
হল , 544
কিছু , 518
মাঝে , 516
আমি , 474
দিয়ে , 472
যায় , 470
করতে , 457
এমন , 426
সে , 421
শুরু , 417
বা , 414
তারা , 392
আমরা , 388
বলে , 386
একটা , 373
বেশ , 368
একটি , 363
বিশেষ , 362
প্রথম , 360
বছর , 358
তিনি , 355
আবার , 354
নেই , 350
নানা , 345
কাছে , 339
সব , 335
তা , 334
নি , 334
সময় , 330
তো , 330
গেল , 329
হবে , 328
সেখানে , 320
মানুষ , 311
থাকে , 310
হিসেবে , 306
সবচেয়ে , 300
বেশী , 297
হয়েছে , 295
পরে , 290
পারে , 288
ভাবে , 285
পর্যন্ত , 284
বিশাল , 278
মানুষের , 276
নাম , 274
বিশ্বের , 269
পর , 268
যা , 265
যেন , 261
একজন , 259
নয় , 255
তাই , 251
পড়ে , 245
শেষ , 241
চলে , 241
গেছে , 240
আগে , 239
কারণে , 239
অন্য , 238
খুব , 237
যদিও , 235
করেন , 234
দুই , 229
প্রায় , 229
তখন , 222
দিকে , 222
যার , 222
এখন , 218
বই , 218
হচ্ছে , 217
সারা , 217
বড় , 216
পাখি , 207
কারণ , 207
তবে , 204
জীবনের , 204
হয়ত , 203
হতে , 200
ধরনের , 199
দেখে , 198
হয়েছিল , 197
ছিলেন , 194
হাজার , 193
ছবি , 191
নিজের , 189
কাজ , 189
কেবল , 189
লেখা , 188
হত , 187
সালে , 185
থেকেই , 183
দিন , 183
করার , 181
ধরে , 181
নামের , 179
যদি , 179
কেন , 179
বলা , 176
চে , 176
এত , 176
মাত্র , 176
উপরে , 176
আজ , 174
কয়েক , 172
আসে , 171
তাকে , 169
যেখানে , 168
ভাল , 167
নতুন , 165
জীবন , 161
জানা , 159
এখানে , 159
চেষ্টা , 157
মূল , 154
যখন , 153
আসলে , 153
এসে , 152
সবাই , 151
সমস্ত , 151
দেশের , 151
যেতে , 150
যাত্রা , 149
প্রতি , 149
দেখতে , 149
মধ্যে , 149
the , 149
ভাই , 148
বন্ধু , 147
উত্তর , 147
আপনার , 147
হলে , 145
হবার , 143
হাতে , 142
কেউ , 142
তৈরি , 140
পাওয়া , 140
ফিরে , 139
যাওয়া , 139
অবশ্য , 138
যাবে , 136
ছোট , 135
চেয়ে , 135
করি , 134
যেমন , 133
উপর , 132
যাবার , 132
বাবা , 128
মানে , 128
বাংলা , 127
সামনে , 127
চোখে , 126
ঠিক , 126
সবুজ , 126
অন্যতম , 125
বিখ্যাত , 125
দেখি , 124
থাকা , 124
বলতে , 123
দেশ , 123
হয় , 122
পা , 121
নাকি , 120
যায় , 119
সম্ভব , 119
তাহলে , 119
করেছেন , 119
দিতে , 119
পরপরই , 119
হলেও , 119
সময়ে , 118
নিয়ে , 117
আমাকে , 116
শহর , 116
দেশে , 115
এটি , 114
আগেই , 114
দেয় , 113
কী , 112
বিশ্ব , 112
বছরের , 111
অতি , 111
ইনাম , 110
পাখির , 110
of , 109
যাচ্ছে , 109
প্রাচীন , 108
কালো , 108
মাঝেই , 108
বইয়ের , 106
দেওয়া , 106
পথ , 105
কে , 104
মতই , 104
প্রাণী , 104
মিলল , 103
বললেন , 103
লেখক , 103
পথে , 103
যারা , 103
কত , 102
বলল , 102
বাংলাদেশের , 101
প্রিয় , 101
যেয়ে , 101
নামে , 100
দেবার , 100
তিন , 100
গত , 99
শহরের , 99
সবার , 98
খাবার , 98
এখনো , 97
কিউবার , 97
পরের , 97
অবশেষে , 96
ফলে , 96
ব্যবহার , 96
মনের , 95
অসাধারণ , 94
গল্প , 93
হয়ে , 93
একই , 93
কম , 93
করেছে , 93
আপনি , 93
জীবনে , 91
পরিণত , 91
দিয়ে , 90
খুবই , 90
বুনো , 89
সেটা , 89
জায়গায় , 89
ঘটনা , 88
ঘুরে , 88
নিচে , 88
দেখার , 88
আরও , 88
অবাক , 87
সেরা , 87
একমাত্র , 87
আসা , 86
কেমন , 86
বসে , 86
চোখ , 85
প্রশ্ন , 85
ঢাকার , 85
শিকার , 85
দল , 85
শুধু , 84
করত , 84
and , 84
অন্যান্য , 84
একটু , 84
মাছ , 83
ছাড়া , 83
সেটি , 83
সাদা , 82
একাধিক , 81
জানতে , 81
অবশ্যই , 81
একবার , 81
এমনকি , 81
যান , 81
তাঁর , 80
উঠে , 79
বাংলাদেশে , 79
মিটার , 79
উঁচু , 79
পৃথিবীর , 79
মুখ , 79
কিনা , 79
থাকার , 78
জল , 78
মুখে , 78
আসল , 78
পরবর্তীতে , 78
নিল , 77
করেছিলেন , 77
মা , 77
পরিচিত , 76
নিতে , 76
সালের , 75
পুরনো , 75
গেলে , 75
দ্য , 75
ফাঁকে , 75
আগের , 75
কিছুই , 75
হন , 75
আলাদা , 75
অংশ , 75
হাত , 74
ক্ষুদে , 74
বার , 74
দূরে , 74
কাজেই , 74
ভ্রমণ , 74
ব্যাপার , 74
লাল , 74
করছে , 74
জন , 74
এটা , 73
অভিজ্ঞতা , 73
বাহির , 73
সময়ের , 73
স্থানীয় , 73
অল্প , 72
চমৎকার , 72
অদ্ভুত , 72
নীল , 72
স্থান , 72
বিরল , 71
পারি , 71
ঘণ্টা , 71
অবস্থিত , 71
দর্শন , 71
to , 71
যেত , 71
কাজে , 70
কোটি , 70
মাধ্যমে , 70
সুযোগ , 70
দিল , 70
রাখা , 70
তরুণ , 70
তোলা , 69
টাকা , 69
ভ্রমণের , 69
মন , 69
বাড়ীতে , 69
শহরে , 69
দেন , 69
তুমি , 68
বর্ণনা , 68
অন্তত , 68
টিকে , 68
বোঝা , 68
প্রতিটি , 68
থাকতে , 68
করলাম , 68
করতেন , 68
পরিবারের , 67
দলের , 67
নিচের , 67
এসেছে , 67
কিছুটা , 67
ধরা , 67
ফেলে , 67
রেখে , 67
যেহেতু , 67
বলেছিলেন , 67
চিন্তা , 67
পড়ল , 67
ঢাকা , 66
পড়া , 66
ভুল , 66
তারপর , 66
তথ্য , 66
হোক , 66
মাথায় , 65
কবি , 65
ঘটে , 65
সবসময়ই , 65
প্রমাণ , 65
জন্ম , 64
আসলেই , 64
তুলে , 64
সম্পর্কে , 64
করেছিল , 64
বাংলাদেশ , 64
থাকলে , 64
দিনের , 63
পর্বত , 63
অপূর্ব , 63
করল , 63
এদের , 63
ওঠে , 63
অনেকেই , 63
ব্যাপারে , 62
আকাশ , 62
মাথা , 62
খানিকটা , 62
বলেন , 62
দাড়িয়ে , 61
শব্দ , 61
সোভিয়েত , 61
আরেক , 61
এভারেস্ট , 61
শত , 61
বড় , 61
বাড়ী , 61
আরো , 61
পরিচয় , 61
তাতে , 61
অথচ , 60
