মাননীয় প্রধান মন্ত্রী,34
একের পর এক,32
প্রধান মন্ত্রী শেখ,23
কোন না কোন,22
বেগম খালেদা জিয়ার,20
পারে দেবি শেঠি,18
থেকে শুরু করে,16
দেবি শেঠি না,16
আক্রান্ত হবার সম্ভাবনা,14
মন্ত্রী শেখ হাসিনা,14
আইন শৃংখলা রক্ষা,13
মুক্ত মত প্রকাশের,12
শেঠি না প্রশ্ন,12
সজীব ওয়াজেদ জয়,11
স্বার্থ হাসিলের জন্য,11
তথ্য যোগাযোগ প্রযুক্তি,11
হৃদরোগে আক্রান্ত হবার,10
দেবি শেঠি হ্যাঁ,10
জঙ্গি সংগঠন ইসলামিক,10
হতে পারে দেবি,10
হবার সম্ভাবনা বেশি,10
নেত্রী বেগম খালেদা,10
শৃংখলা রক্ষা বাহিনী,9
সংগঠন ইসলামিক স্টেট,9
জীবন দিতে হয়,9
দায় স্বীকার করে,9
বেগম খালেদা জিয়া,9
ভাবেই প্রশ্ন আসে,9
মাননীয় বিরোধী দলীয়,9
না কোন ভাবে,9
একটা বড় প্রশ্ন,8
স্বাভাবিক ভাবেই প্রশ্ন,8
হউক না কেন,8
ছাড়া আর কিছুই,8
আমাদের মহান মুক্তিযুদ্ধ,8
মন্ত্রী শেখ হাসিনার,8
আমাদের স্বাধীনতা আমাদের,8
আইনশৃঙ্খলা রক্ষাকারী বাহিনী,8
আমার মনে হয়,8
আমাদের মহান মুক্তিযুদ্ধের,8
কি দেবি শেঠি,8
আড়াই লক্ষ মা,7
ইমরান এইচ সরকার,7
কাছে মাথা নত,7
ত্রিশ লক্ষ শহীদের,7
ভাষা সৈনিক সফিউদ্দিন,7
একাত্তরে যুদ্ধাপরাধ মানবতাবিরোধী,7
গত কয়েক দিন,7
ধর্মীয় উগ্রবাদ তথা,7
জীবন দিতে হয়েছে,7
জীবন বাজি রেখে,7
লক্ষ মা বোনের,7
নয় তার পর,7
বিএনপি নেত্রী বেগম,7
বর্তমান প্রধান মন্ত্রী,7
দীর্ঘ দিন যাবৎ,6
হয় তা হলে,6
শফিক রেহমানের গ্রেফতার,6
স্বাধীনতার দীর্ঘ চৌচল্লিশ,6
ব্যবহার করে আসছে,6
বঙ্গবন্ধু শেখ মুজিবুর,6
সিটি করপোরেশনের নির্বাচনের,6
তা হলে কি,6
পরিনত হতে চলছে,6
শিকার হতে হয়,6
তথা কথিত হেফাজতে,6
বা অন্য কোন,6
যে আমাদের দেশের,6
দুই বিদেশী নাগরিক,6
বিশ্বের বিভিন্ন দেশে,6
ধর্মীয় অনুভূতিতে আঘাত,6
আমাদের সরকার তথা,6
ওয়াশিকুর রহমান বাবু,6
আমাদের দেশের রাজনীতি,6
খুন হতে হয়,6
ভিক্ষার জন্য আমাদের,6
আর তার জন্য,6
কি হৃদরোগে আক্রান্ত,6
বাকস্বাধীনতা তথা মুক্ত,6
দীর্ঘ চৌচল্লিশ বছর,6
আগামী নির্বাচন কালীন,6
প্রধানমন্ত্রী শেখ হাসিনা,6
কালের চারটি সিটি,6
পানি বিদ্যুৎ গ্যাসের,6
উগ্র ধর্মীয় মৌলবাদীদের,6
লক্ষ শহীদের রক্ত,6
করতে পারে নি,6
মুক্ত চিন্তা তথা,6
নেতা বেগম খালেদা,6
গত কালের চারটি,6
রাষ্ট্র ধর্ম ইসলাম,6
ভাবে প্রশ্ন আসে,6
মত প্রকাশের জন্য,6
চারটি সিটি করপোরেশনের,6
আমি মনে করি,5
মাদকদ্রব্য নিয়ন্ত্রণ অধিদফতরের,5
উগ্র ধর্মীয় জঙ্গি,5
তথা বাক স্বাধীনতা,5
ব্লগার ওয়াশিকুর রহমান,5
আমাদের মাননীয় প্রধান,5
প্রশ্ন আসে যে,5
বিএনপি জামাত জোট,5
আজমত উল্লাহ্‌ খান,5
মোটে নিরাপদ নয়,5
সরকার তার প্রশাসন,5
আন্তর্জাতিক অপরাধ ট্রাইব্যুনাল,5
প্রযুক্তি আইনের ৫৭,5
চৌচল্লিশ বছর পর,5
যোগাযোগ প্রযুক্তি আইন,5
সামাজিক যোগাযোগ মাধ্যম,5
কথিত হেফাজতে ইসলাম,5
সরকার তথা রাষ্ট্রযন্ত্র,5
নতুন কিছু নয়,5
ধ্বংসের দ্বার প্রান্তে,5
ইসলামিক স্টেট আইএস,5
রাষ্ট্রে পরিনত হতে,5
স্বাধীন মুক্ত মত,5
কেন জানি মনে,5
সংবাদ মাধ্যমের শিরোনাম,5
অধ্যাপক আবুল কাশেম,5
বাক স্বাধীনতা প্রকাশের,5
সরকারি প্রাথমিক বিদ্যালয়ের,5
মত প্রকাশের ক্ষেত্রে,5
হত্যা করা হয়,5
কিছু দিন আগে,5
মা বোনের ইজ্জতের,5
বছর পর এসে,5
আন্তর্জাতিক জঙ্গি গোষ্ঠী,5
চিন্তা তথা বাক,5
হাত থেকে রক্ষা,5
তা হলে আমাদের,5
ছাড়া আর কিছু,5
জীবন দিতে হলো,5
